Game Nr	Game Score
1	1624
2	172
3	580
4	1183
5	970
6	99
7	44
8	1023
9	527
10	345
11	985
12	288
13	358
14	282
15	923
16	826
17	68
18	1147
19	511
20	936
21	1013
22	1869
23	1297
24	396
25	50
26	90
27	231
28	54
29	877
30	2
31	416
32	257
33	11
34	195
35	124
36	60
37	1983
38	223
39	39
40	530
41	151
42	417
43	544
44	18
45	390
46	369
47	1814
48	74
49	396
50	20
51	1105
52	2322
53	816
54	60
55	959
56	50
57	1916
58	323
59	468
60	169
61	533
62	229
63	89
64	672
65	948
66	4
67	201
68	147
69	440
70	229
71	1336
72	370
73	35
74	599
75	555
76	618
77	119
78	1016
79	162
80	940
81	2265
82	225
83	573
84	376
85	1004
86	113
87	1325
88	952
89	227
90	4738
91	472
92	112
93	172
94	273
95	25
96	100
97	809
98	1036
99	478
100	36
101	471
102	1109
103	1104
