Game Nr	Game Score
1	738
2	599
3	136
4	187
5	28
6	207
7	435
8	105
9	161
10	368
11	1906
12	226
13	1453
14	2718
15	253
16	480
17	275
18	770
19	88
20	12
21	12
22	671
23	110
24	18
25	1079
26	582
27	131
28	379
29	160
30	784
31	138
32	1132
33	536
34	174
35	64
36	532
37	83
38	1839
39	60
40	125
41	1524
42	540
43	411
44	1981
45	652
46	278
47	296
48	1052
49	525
50	746
51	40
52	480
53	282
54	33
55	54
56	232
57	17
58	419
59	479
60	484
61	211
62	280
63	109
64	168
65	1137
66	1375
67	199
68	750
69	832
70	269
71	381
72	540
73	1013
74	88
75	415
76	698
77	26
78	243
79	304
80	1198
81	299
82	104
83	142
84	698
85	162
86	187
87	361
88	526
89	811
90	109
91	1251
92	55
93	39
94	396
95	609
96	170
97	127
98	1063
99	111
100	2053
101	1049
102	89
103	625
104	1830
105	27
106	308
107	206
108	271
109	179
110	616
111	94
112	327
113	1383
114	413
115	146
116	380
117	122
118	1095
119	8
120	1196
121	334
122	165
123	316
124	27
125	374
126	544
127	185
128	19
129	224
130	1106
131	246
132	91
133	188
134	367
135	54
136	3336
137	583
138	245
139	460
140	878
141	516
142	69
143	482
144	171
145	301
146	466
147	139
148	737
149	207
150	14
151	384
152	79
153	1287
154	1038
155	872
156	341
157	593
158	443
159	130
160	15
161	78
162	79
163	226
164	382
165	8
166	319
167	457
168	918
169	12
170	766
171	19
172	176
173	415
174	88
175	1065
176	130
177	695
178	42
179	41
180	1329
181	631
182	487
183	134
184	677
185	527
186	225
187	264
188	99
189	1241
190	1019
191	37
192	666
193	256
194	5
195	257
196	208
197	401
198	474
199	320
200	203
201	392
202	776
203	805
204	548
205	11
206	716
207	499
208	195
209	150
210	84
211	205
212	9
213	118
214	730
215	459
216	509
217	135
218	508
219	762
220	809
221	304
222	1208
223	1129
224	398
225	173
226	347
227	138
228	593
229	1355
230	299
231	465
232	813
233	513
234	493
235	746
236	112
237	708
238	123
239	898
240	235
241	329
242	2481
243	278
244	242
245	273
246	453
247	602
248	548
249	72
250	87
251	660
252	719
253	459
254	907
255	212
256	318
257	69
258	277
259	1410
260	1701
261	549
262	227
263	661
264	569
265	518
266	126
267	312
268	1000
269	395
270	2050
271	105
272	18
273	281
274	266
275	218
276	354
277	700
278	558
279	769
280	134
281	47
282	188
283	479
284	289
285	389
286	351
287	131
288	322
289	401
290	9
291	103
292	350
293	428
294	588
295	343
296	359
297	135
298	86
299	505
300	58
301	426
302	1486
303	1733
304	256
305	284
306	183
307	621
308	11
309	1356
310	106
311	892
312	652
313	221
314	127
315	1474
316	273
317	481
318	1665
319	524
320	390
321	631
322	674
323	47
324	2817
325	148
326	667
327	436
328	369
329	7
330	197
331	1
332	115
333	385
334	49
335	607
336	766
337	90
338	426
339	926
340	205
341	195
342	1405
343	447
344	171
345	1141
346	5
347	110
348	134
349	401
350	709
351	113
352	55
353	202
354	1397
355	481
356	168
357	589
358	946
359	298
360	245
361	886
362	63
363	228
364	459
365	151
366	2517
367	240
368	977
369	594
370	211
371	62
372	76
373	589
374	6
375	172
376	441
377	1797
378	91
379	1375
380	134
381	323
382	404
383	825
384	62
385	932
386	52
387	487
388	148
389	1876
390	620
391	1706
392	111
393	681
394	996
395	605
396	402
397	409
398	203
399	742
400	496
401	320
402	53
403	1775
404	222
405	115
406	71
407	475
408	680
409	1244
410	81
411	724
412	1987
413	1614
414	619
415	605
416	92
417	356
418	121
419	123
420	446
421	740
422	900
423	55
424	607
425	171
426	771
427	269
428	808
429	277
430	209
431	1189
432	7
433	526
434	437
435	701
436	526
437	1650
438	1326
439	850
440	192
441	181
442	319
443	53
444	642
445	182
446	696
447	1104
448	700
449	902
450	445
451	1428
452	2424
453	116
454	169
455	165
456	103
457	325
458	88
459	301
460	910
461	171
462	2716
463	385
464	1227
465	87
466	30
467	105
468	79
469	770
470	679
471	107
472	60
473	58
474	61
475	481
476	1863
477	719
478	200
479	423
480	92
481	604
482	680
483	225
484	146
485	874
486	53
487	864
488	244
489	103
490	569
491	221
492	75
493	608
494	418
495	66
496	157
497	516
498	52
499	2740
500	108
501	37
502	144
503	1455
504	327
505	201
506	1167
507	903
508	299
509	739
510	512
511	275
512	512
513	549
514	30
515	406
516	164
517	125
518	370
519	446
520	81
521	246
522	80
523	138
524	232
525	140
526	17
527	600
528	499
529	6
530	16
531	163
532	476
533	649
534	178
535	305
536	99
