Game Nr	Game Score
1	10480
2	6063
3	22658
4	7780
5	6126
6	43319
7	24608
8	4721
9	4476
10	786
11	48653
12	34807
13	872
14	26064
15	22029
16	15727
17	14584
18	31607
19	6675
20	7222
21	51723
22	4426
23	5175
24	4373
25	49516
26	35753
27	25867
28	37721
29	16311
30	6420
31	3888
32	7255
33	9267
34	33677
35	3537
36	40314
37	73314
38	10116
39	7613
40	6784
41	189
42	22627
43	38092
44	32260
45	4712
46	7556
47	73000
48	2528
49	50006
50	2232
51	7415
52	5218
53	80481
54	57485
55	2453
56	8507
57	296
58	37727
59	50755
60	16057
61	3203
62	6305
63	32241
64	18295
65	14947
66	4117
67	14619
68	16592
69	54496
70	58
71	1456
72	29202
73	1563
74	92352
75	17555
76	73123
77	6704
78	15507
79	37707
80	7814
81	69650
82	35154
83	23898
84	7690
85	6933
86	25711
87	8983
88	11070
89	29429
90	6089
91	9969
92	12669
93	11776
94	9440
95	35912
96	39417
97	5894
98	8446
99	5205
100	4209
101	30157
102	529
103	16681
104	58805
105	15429
106	207
107	30131
108	11530
109	8260
110	22607
111	799
