Game Nr	Game Score
1	1
2	0
3	0
4	0
5	0
6	1
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	4
19	1
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	2
37	0
38	0
39	1
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	1
66	0
67	2
68	0
69	0
70	0
71	0
72	0
73	2
74	0
75	0
76	0
77	0
78	0
79	7
80	0
81	0
82	0
83	0
84	0
85	1
86	0
87	0
88	0
89	0
90	0
91	2
92	0
93	0
94	0
95	0
96	0
97	1
98	0
99	0
100	0
101	1
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	1
111	0
112	1
113	2
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	1
130	0
131	0
132	0
133	0
134	0
135	2
136	1
137	0
138	1
139	1
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	1
169	0
170	1
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	1
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	1
193	0
194	0
195	1
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	1
204	0
205	0
206	0
207	0
208	0
209	2
210	1
211	0
212	1
213	0
214	0
215	0
216	1
217	1
218	0
219	1
220	4
221	0
222	1
223	1
224	0
225	0
226	2
227	1
228	1
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	2
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	2
247	0
248	0
249	0
250	1
251	0
252	0
253	0
254	1
255	0
256	0
257	0
258	1
259	0
260	1
261	0
262	2
263	1
264	0
265	1
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	2
278	3
279	1
280	1
281	0
282	1
283	0
284	0
285	0
286	0
287	0
288	1
289	0
290	2
291	1
292	0
293	0
294	1
295	0
296	0
297	2
298	1
299	1
300	0
301	2
302	1
303	0
304	0
305	1
306	3
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	2
315	0
316	0
317	0
318	3
319	0
320	1
321	0
322	0
323	2
324	0
325	0
326	2
327	0
328	1
329	0
330	0
331	0
332	1
333	2
334	0
335	0
336	0
337	0
338	1
339	1
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	0
349	5
350	1
351	3
352	0
353	1
354	3
355	1
356	2
357	0
358	1
359	0
360	0
361	0
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	0
370	1
371	0
372	1
373	2
374	2
375	1
376	2
377	0
378	1
379	1
380	2
381	0
382	0
383	0
384	0
385	0
386	1
387	1
388	0
389	1
390	2
391	0
392	3
393	0
394	4
395	0
396	0
397	1
398	0
399	0
400	0
401	0
402	0
403	1
404	0
405	0
406	0
407	1
408	2
409	0
410	0
411	0
412	0
413	4
414	1
415	0
416	11
417	0
418	0
419	1
420	1
421	1
422	1
423	1
424	1
425	0
426	3
427	0
428	0
429	0
430	1
431	0
432	0
433	0
434	0
435	5
436	2
437	1
438	0
439	0
440	4
441	4
442	5
443	0
444	0
445	0
446	0
447	3
448	1
449	4
450	1
451	1
452	1
453	0
454	0
455	0
456	0
457	1
458	0
459	2
460	2
461	0
462	1
463	1
464	2
465	1
466	0
467	0
468	0
469	1
470	0
471	5
472	0
473	1
474	0
475	1
476	0
477	0
478	0
479	4
480	2
481	2
482	1
483	0
484	1
485	0
486	4
487	2
488	0
489	0
490	0
491	0
492	4
493	0
494	1
495	0
496	0
497	0
498	7
499	1
500	2
501	0
502	0
503	2
504	0
505	2
506	3
507	4
508	4
509	1
510	1
511	0
512	2
513	0
514	1
515	1
516	0
517	8
518	0
519	1
520	0
521	10
522	4
523	0
524	2
525	1
526	7
527	2
528	2
529	1
530	1
531	0
532	6
533	1
534	2
535	0
536	2
537	0
538	2
539	4
540	2
541	0
542	4
543	2
544	2
545	2
546	3
547	4
548	0
549	0
550	1
551	7
552	2
553	0
554	0
555	1
556	0
557	1
558	12
559	2
560	1
561	0
562	5
563	0
564	4
565	2
566	0
567	2
568	0
569	0
570	3
571	2
572	5
573	5
574	3
575	0
576	3
577	1
578	0
579	0
580	7
581	4
582	0
583	1
584	4
585	0
586	4
587	1
588	3
589	1
590	3
591	2
592	7
593	0
594	0
595	4
596	0
597	2
598	2
599	1
600	4
601	4
602	3
603	0
604	0
605	1
606	0
607	0
608	7
609	5
610	2
611	1
612	0
613	1
614	5
615	1
616	1
617	2
618	4
619	2
620	2
621	0
622	0
623	1
624	5
625	0
626	1
627	1
628	8
629	2
630	1
631	2
632	1
633	1
634	4
635	0
636	1
637	6
638	6
639	5
640	2
641	5
642	1
643	1
644	2
645	3
646	0
647	2
648	2
649	5
650	4
651	0
652	0
653	4
654	1
655	0
656	4
657	0
658	11
659	1
660	2
661	1
662	3
663	8
664	1
665	2
666	2
667	3
668	3
669	1
670	1
671	0
672	0
673	4
674	1
675	2
676	4
677	1
678	0
679	5
680	1
681	2
682	2
683	0
684	1
685	6
686	1
687	0
688	1
689	2
690	1
691	2
692	10
693	0
694	1
695	6
696	1
697	0
698	10
699	0
700	3
701	4
702	1
703	2
704	9
705	4
706	7
707	1
708	3
709	0
710	2
711	5
712	2
713	3
714	1
715	0
716	1
717	1
718	11
719	2
720	4
721	0
722	0
723	2
724	14
725	3
726	3
727	7
728	1
729	1
730	1
731	1
732	1
733	1
734	0
735	0
736	6
737	2
738	1
739	2
740	1
741	1
742	0
743	1
744	0
745	3
746	0
747	0
748	0
749	0
750	2
751	1
752	2
753	2
754	2
755	1
756	5
757	2
758	0
759	0
760	0
761	7
762	2
763	1
764	1
765	0
766	2
767	5
768	3
769	1
770	2
771	3
772	10
773	1
774	5
775	2
776	0
777	0
778	0
779	2
780	1
781	3
782	0
783	3
784	1
785	5
786	6
787	1
788	1
789	2
790	6
791	11
792	8
793	5
794	1
795	8
796	4
797	2
798	2
799	3
800	1
801	2
802	1
803	1
804	1
805	0
806	3
807	1
808	0
809	3
810	1
811	3
812	1
813	5
814	1
815	1
816	6
817	0
818	10
819	0
820	6
821	4
822	1
823	6
824	4
825	2
826	1
827	3
828	6
829	1
830	3
831	2
832	2
833	2
834	0
835	1
836	1
837	3
838	4
839	4
840	3
841	3
842	2
