Game Nr	Game Score
1	29
2	0
3	12
4	12
5	16
6	9
7	10
8	22
9	14
10	19
11	45
12	22
13	5
14	22
15	24
16	10
17	20
18	4
19	12
20	24
21	16
22	16
23	32
24	5
25	21
26	5
27	2
28	15
29	38
30	11
31	10
32	3
33	9
34	13
35	27
36	11
37	13
38	2
39	46
40	32
41	24
42	10
43	9
44	6
45	45
46	12
47	31
48	6
49	6
50	5
51	16
52	27
53	12
54	29
55	14
56	14
57	12
58	5
59	12
60	18
61	5
62	11
63	12
64	5
65	21
66	1
67	11
68	13
69	17
70	68
71	3
72	8
73	20
74	2
75	10
76	3
77	8
78	8
79	15
80	11
81	0
82	17
83	23
84	3
85	7
86	12
87	8
88	15
89	25
90	33
91	18
92	10
93	13
94	14
95	3
96	6
97	3
98	15
99	9
100	39
101	19
102	6
103	13
104	31
105	21
106	5
107	8
108	26
109	14
110	4
111	9
112	19
113	87
114	19
115	14
116	21
117	35
118	0
119	9
120	26
121	12
122	3
123	40
124	19
125	8
126	1
127	19
128	19
129	14
130	1
131	1
132	12
133	14
134	22
135	48
136	10
137	7
138	5
139	4
140	10
141	46
142	4
143	9
144	21
145	6
146	54
147	8
148	16
149	21
150	13
151	24
152	2
153	13
154	17
155	9
156	15
157	6
158	23
159	91
160	13
161	9
162	7
163	17
164	5
165	18
166	19
167	20
168	5
169	20
170	16
171	4
172	14
173	17
174	7
175	3
176	24
177	9
178	24
179	33
180	8
181	42
182	6
183	43
184	22
185	9
186	5
187	17
188	2
189	15
190	3
191	7
192	9
193	1
194	15
195	3
196	9
197	43
198	43
199	19
200	4
201	23
202	5
203	19
204	4
205	8
206	31
207	0
208	23
209	17
210	12
211	41
212	8
213	5
214	24
215	23
216	19
217	11
218	17
219	14
220	8
221	28
222	26
223	5
224	25
225	0
226	7
227	8
228	12
229	13
230	23
231	2
232	9
233	20
234	4
235	1
236	33
237	11
238	23
239	21
240	11
241	12
242	3
243	5
244	6
245	3
246	8
247	8
248	70
249	6
250	13
251	11
252	13
253	9
254	24
255	6
256	12
257	23
258	2
259	14
260	19
261	11
262	2
263	8
264	15
265	50
266	10
267	12
268	8
269	20
270	3
271	11
272	11
273	13
274	11
275	30
276	5
277	14
278	15
279	21
280	13
281	18
282	18
283	34
284	4
285	30
286	4
287	4
288	11
289	9
290	19
291	2
292	4
293	1
294	14
295	10
296	8
297	9
298	2
299	5
300	8
301	18
302	8
303	17
304	4
305	35
306	2
307	5
308	15
309	15
310	5
311	19
312	7
313	17
314	33
315	6
316	7
317	40
318	5
319	8
320	25
321	6
322	26
323	15
324	20
325	7
326	15
327	4
328	11
329	12
330	17
331	4
332	8
333	26
334	12
335	1
336	49
337	19
338	16
339	21
340	18
341	4
342	4
343	19
344	8
345	3
346	21
347	16
348	21
349	4
350	13
351	2
352	6
353	49
354	14
355	20
356	4
357	20
358	3
359	13
360	8
361	14
362	11
363	8
364	5
365	14
366	6
367	14
368	1
369	6
370	11
371	3
372	37
373	3
374	6
375	5
376	13
377	16
378	45
379	15
380	17
381	21
382	4
383	32
384	18
385	26
